frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
48,0,3.133,0.98,1,0.00,0.00,0.14,0.09,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,2.01,0.04,0.14,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
49,0,3.200,0.98,1,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
50,0,3.267,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.01,0.00,0.00,0.00,0.96,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
51,0,3.333,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.97,0.00,0.00,0.00,0.65,0.00,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
52,0,3.400,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.86,0.00,0.00,0.00,0.53,0.00,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
53,0,3.467,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.80,0.00,0.00,0.00,0.49,0.00,0.00,0.02,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
54,0,3.533,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.79,0.00,0.00,0.00,0.51,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
55,0,3.600,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.82,0.00,0.00,0.00,0.51,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
56,0,3.667,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.82,0.00,0.00,0.00,0.48,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
57,0,3.733,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.78,0.00,0.00,0.00,0.44,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
58,0,3.800,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.74,0.00,0.01,0.00,0.41,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
59,0,3.867,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.76,0.00,0.01,0.00,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
60,0,3.933,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.81,0.00,0.03,0.00,0.35,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
